Date,Age,Home,MP,FGA,FG%,3PA,3P%,FTA,FT%,PTS,HSG
2003-10-29,18.83013698630137,0,42.833333333333336,20,0.6,2,0.0,3,0.333,25,1
2003-10-30,18.832876712328765,0,40.35,17,0.471,5,0.2,7,0.571,21,0
2003-11-01,18.838356164383562,0,39.166666666666664,12,0.25,1,0.0,2,1.0,8,0
2003-11-05,18.84931506849315,1,41.1,11,0.273,2,0.0,1,1.0,7,0
2003-11-07,18.854794520547944,0,43.733333333333334,18,0.444,2,0.5,7,0.857,23,0
2003-11-08,18.85753424657534,1,44.5,19,0.421,0,0.0,4,0.25,17,0
2003-11-10,18.863013698630137,1,33.65,12,0.583,3,1.0,0,0.0,17,0
2003-11-12,18.86849315068493,0,42.666666666666664,15,0.4,5,0.4,6,0.667,18,0
2003-11-14,18.873972602739727,0,35.6,12,0.25,4,0.5,4,0.5,10,0
2003-11-15,18.876712328767123,1,46.95,19,0.526,1,0.0,4,0.5,22,0
2003-11-18,18.884931506849316,1,39.416666666666664,16,0.375,2,0.0,4,0.5,14,0
2003-11-19,18.887671232876713,0,39.15,18,0.556,4,0.5,8,0.75,28,1
2003-11-21,18.893150684931506,1,35.3,19,0.421,2,0.0,3,1.0,19,0
2003-11-22,18.895890410958906,0,42.3,16,0.188,1,0.0,10,0.9,15,0
2003-11-26,18.90684931506849,0,38.8,17,0.294,4,0.25,4,1.0,15,0
2003-11-28,18.912328767123288,0,36.45,8,0.25,2,0.0,3,0.667,6,0
2003-11-29,18.915068493150685,1,54.68333333333333,28,0.5,6,0.5,3,0.667,33,1
2003-12-02,18.923287671232877,0,32.516666666666666,19,0.316,3,0.667,7,0.714,19,0
2003-12-03,18.926027397260274,0,34.083333333333336,13,0.154,3,0.0,0,0.0,4,0
2003-12-06,18.934246575342467,1,36.06666666666667,12,0.333,2,0.0,0,0.0,8,0
2003-12-09,18.942465753424656,1,37.05,16,0.438,0,0.0,4,1.0,18,0
2003-12-11,18.947945205479453,1,42.766666666666666,21,0.381,3,0.333,8,0.75,23,0
2003-12-13,18.953424657534246,1,45.416666666666664,20,0.5,5,0.2,18,0.889,37,1
2003-12-15,18.958904109589042,0,43.666666666666664,16,0.625,3,0.0,8,0.875,27,1
