Date,Age,Home,HSG,PPG3,3PA3,3P%3,FGA3,FG%3,FTA3,FT%3,MP3
2003-11-05,18.84931506849315,1,0,18.0,2.667,0.067,16.333,0.44,4.0,0.635,40.783
2003-11-07,18.854794520547944,0,0,12.0,2.667,0.067,13.333,0.331,3.333,0.857,40.206
2003-11-08,18.85753424657534,1,0,12.667,1.667,0.167,13.667,0.322,3.333,0.952,41.333
2003-11-10,18.863013698630137,1,0,15.667,1.333,0.167,16.0,0.379,4.0,0.702,43.111
2003-11-12,18.86849315068493,0,0,19.0,1.667,0.5,16.333,0.483,3.667,0.369,40.628
2003-11-14,18.873972602739727,0,0,17.333,2.667,0.467,15.333,0.468,3.333,0.306,40.272
2003-11-15,18.876712328767123,1,0,15.0,4.0,0.633,13.0,0.411,3.333,0.389,37.306
2003-11-18,18.884931506849316,1,0,16.667,3.333,0.3,15.333,0.392,4.667,0.556,41.739
2003-11-19,18.887671232876713,0,1,15.333,2.333,0.167,15.667,0.384,4.0,0.5,40.656
2003-11-21,18.893150684931506,1,0,21.333,2.333,0.167,17.667,0.486,5.333,0.583,41.839
2003-11-22,18.895890410958906,0,0,20.333,2.667,0.167,17.667,0.451,5.0,0.75,37.956
2003-11-26,18.90684931506849,0,0,20.667,2.333,0.167,17.667,0.388,7.0,0.883,38.917
2003-11-28,18.912328767123288,0,0,16.333,2.333,0.083,17.333,0.301,5.667,0.967,38.8
2003-11-29,18.915068493150685,1,1,12.0,2.333,0.083,13.667,0.244,5.667,0.856,39.183
2003-12-02,18.923287671232877,0,0,18.0,4.0,0.25,17.667,0.348,3.333,0.778,43.311
2003-12-03,18.92602739726027,0,0,19.333,3.667,0.389,18.333,0.355,4.333,0.683,41.217
2003-12-06,18.934246575342467,1,0,18.667,4.0,0.389,20.0,0.323,3.333,0.46,40.428
2003-12-09,18.942465753424656,1,0,10.333,2.667,0.222,14.667,0.268,2.333,0.238,34.222
2003-12-11,18.947945205479453,1,0,10.0,1.667,0.0,13.667,0.308,1.333,0.333,35.733
2003-12-13,18.95342465753425,1,1,16.333,1.667,0.111,16.333,0.384,4.0,0.583,38.628
2003-12-15,18.95890410958904,0,1,26.0,2.667,0.178,19.0,0.44,10.0,0.88,41.744
2003-12-17,18.964383561643835,1,0,29.0,3.667,0.178,19.0,0.502,11.333,0.838,43.95
2003-12-19,18.96986301369863,0,1,27.0,4.0,0.233,18.333,0.498,9.333,0.755,41.694
2003-12-20,18.972602739726028,0,1,26.667,4.667,0.405,19.667,0.525,4.333,0.792,40.45
2003-12-23,18.980821917808218,1,0,28.333,5.333,0.405,21.667,0.484,5.667,0.778,39.806
2003-12-25,18.986301369863018,0,1,30.0,6.0,0.294,22.667,0.467,7.667,0.903,40.861
2003-12-26,18.98904109589041,1,0,29.333,7.0,0.189,24.0,0.427,8.333,0.836,42.667
2003-12-28,18.994520547945207,1,1,24.667,6.667,0.272,24.667,0.358,5.667,0.808,40.2
2003-12-30,19.0,1,0,28.0,5.333,0.217,25.0,0.469,3.667,0.85,40.172
2004-01-02,19.008219178082193,0,0,24.0,3.333,0.083,22.333,0.465,4.0,0.806,37.178
2004-01-06,19.019178082191782,1,0,22.667,3.333,0.0,20.667,0.473,4.0,0.722,37.756
2004-01-07,19.02191780821918,0,0,16.667,3.333,0.0,18.667,0.373,4.0,0.722,38.533
2004-01-09,19.027397260273972,0,0,16.333,3.0,0.0,19.667,0.368,2.667,0.667,38.572
2004-01-12,19.035616438356165,0,0,18.0,2.667,0.0,19.667,0.385,3.667,0.738,40.622
2004-01-13,19.03835616438356,0,1,18.667,3.0,0.0,20.667,0.368,4.667,0.671,38.961
2004-01-15,19.04383561643836,0,1,20.667,2.333,0.0,21.667,0.364,6.0,0.782,40.85
2004-01-17,19.04931506849315,0,1,24.0,3.0,0.133,22.333,0.368,8.0,0.826,41.25
2004-01-26,19.07397260273973,1,0,28.333,3.333,0.3,25.0,0.411,8.0,0.76,43.911
2004-01-28,19.07945205479452,1,1,24.667,3.667,0.467,22.667,0.393,6.667,0.649,39.267
2004-01-30,19.084931506849315,0,0,24.0,2.333,0.333,24.0,0.399,5.667,0.6,39.594
2004-02-01,19.09041095890411,0,1,21.0,3.0,0.222,23.0,0.349,6.667,0.608,37.217
2004-02-03,19.095890410958905,0,0,28.333,3.0,0.222,25.667,0.4,9.667,0.714,41.694
2004-02-04,19.0986301369863,1,1,23.333,3.0,0.222,23.667,0.354,7.0,0.814,39.622
2004-02-06,19.104109589041094,0,0,27.333,2.333,0.5,24.0,0.415,6.0,0.873,41.556
2004-02-07,19.106849315068494,1,0,19.333,2.667,0.444,21.0,0.353,3.667,0.683,41.95
2004-02-09,19.112328767123287,1,0,20.0,2.333,0.444,20.0,0.39,3.667,0.683,40.578
2004-02-11,19.117808219178084,1,0,17.333,3.0,0.167,19.667,0.356,4.0,0.694,40.65
2004-02-18,19.136986301369863,1,0,15.667,2.333,0.056,18.0,0.296,4.333,0.944,35.633
2004-02-20,19.14246575342466,1,1,16.333,2.333,0.056,16.667,0.338,5.0,0.944,35.494
2004-02-22,19.147945205479452,0,0,19.0,0.333,0.0,16.0,0.421,4.333,1.0,34.267
2004-02-23,19.15068493150685,1,0,23.333,0.0,0.0,18.333,0.486,6.667,0.889,39.017
2004-02-25,19.156164383561645,0,0,25.0,1.667,0.067,19.667,0.466,7.333,0.889,40.0
2004-02-27,19.16164383561644,0,1,18.0,2.333,0.067,18.0,0.355,7.0,0.667,39.672
2004-03-01,19.16986301369863,0,0,20.667,2.667,0.4,17.667,0.432,5.667,0.736,41.483
2004-03-03,19.175342465753424,1,0,19.667,1.667,0.333,18.0,0.423,5.667,0.625,42.883
2004-03-05,19.18082191780822,0,0,24.0,1.667,0.5,17.667,0.507,6.667,0.792,39.206
2004-03-06,19.183561643835617,1,0,20.333,2.0,0.5,17.0,0.451,5.333,0.75,35.394
2004-03-08,19.18904109589041,0,1,22.333,2.333,0.5,19.333,0.466,4.333,0.75,36.028
2004-03-10,19.194520547945206,0,0,25.667,3.0,0.417,21.333,0.449,6.667,0.754,41.861
2004-03-14,19.205479452054796,1,1,24.0,2.333,0.083,20.0,0.415,7.667,0.79,40.522
2004-03-16,19.21095890410959,1,0,24.667,2.0,0.083,19.333,0.444,8.0,0.734,41.006
2004-03-19,19.21917808219178,1,0,19.0,1.667,0.222,17.0,0.389,6.333,0.661,36.683
2004-03-21,19.224657534246575,1,0,19.0,2.333,0.222,17.333,0.381,7.333,0.575,36.85
2004-03-23,19.23013698630137,1,1,15.333,3.0,0.306,15.667,0.298,7.667,0.675,34.383
2004-03-26,19.23835616438356,0,0,18.0,3.667,0.217,17.333,0.32,8.0,0.726,37.328
2004-03-27,19.24109589041096,1,1,18.667,3.667,0.383,17.0,0.353,7.667,0.711,36.828
2004-03-29,19.246575342465754,0,0,27.333,3.0,0.467,21.0,0.428,9.333,0.778,39.178
2004-03-30,19.24931506849315,0,1,25.0,1.667,0.333,20.667,0.451,6.333,0.519,36.078
2004-04-02,19.257534246575343,0,0,29.0,1.667,0.167,23.667,0.519,4.667,0.5,39.183
2004-04-03,19.26027397260274,1,1,22.0,1.0,0.0,20.333,0.505,2.0,0.5,36.794
2004-04-06,19.268493150684932,1,0,27.333,2.333,0.2,23.0,0.498,5.667,0.712,41.656
2004-04-07,19.27123287671233,0,0,25.0,1.667,0.2,21.333,0.399,9.0,0.807,42.961
2004-04-09,19.27671232876712,0,0,23.0,1.667,0.2,18.667,0.362,10.667,0.76,42.944
2004-04-10,19.27945205479452,1,0,19.667,0.333,0.333,14.0,0.362,12.0,0.792,41.6
2004-04-12,19.284931506849315,1,1,16.0,1.0,0.333,12.0,0.386,9.0,0.663,36.811
2004-04-14,19.29041095890411,0,0,20.333,2.333,0.417,15.0,0.414,10.333,0.62,39.717
2004-11-03,19.846575342465755,1,1,18.0,3.0,0.083,16.0,0.428,5.667,0.709,37.339
